연도,시군구,법정동코드,총 인구,고령자 수,고령자 비율 (%),시군구명
2020,서울특별시 종로구,1111000000,149384,28311,19,서울특별시 종로구
2020,서울특별시 중구,1114000000,125240,24174,19.3,서울특별시 중구
2020,서울특별시 용산구,1117000000,230040,39779,17.3,서울특별시 용산구
2020,서울특별시 성동구,1120000000,293556,45435,15.5,서울특별시 성동구
2020,서울특별시 광진구,1121500000,346682,50311,14.5,서울특별시 광진구
2020,서울특별시 동대문구,1123000000,342837,61612,18,서울특별시 동대문구
2020,서울특별시 중랑구,1126000000,394702,69341,17.6,서울특별시 중랑구
2020,서울특별시 성북구,1129000000,437153,73613,16.8,서울특별시 성북구
2020,서울특별시 강북구,1130500000,308055,63313,20.6,서울특별시 강북구
2020,서울특별시 도봉구,1132000000,325257,62009,19.1,서울특별시 도봉구
2020,서울특별시 노원구,1135000000,523037,85420,16.3,서울특별시 노원구
2020,서울특별시 은평구,1138000000,479835,85010,17.7,서울특별시 은평구
2020,서울특별시 서대문구,1141000000,312173,53756,17.2,서울특별시 서대문구
2020,서울특별시 마포구,1144000000,371890,54002,14.5,서울특별시 마포구
2020,서울특별시 양천구,1147000000,454251,65541,14.4,서울특별시 양천구
2020,서울특별시 강서구,1150000000,580185,88733,15.3,서울특별시 강서구
2020,서울특별시 구로구,1153000000,404408,69201,17.1,서울특별시 구로구
2020,서울특별시 금천구,1154500000,231733,39314,17,서울특별시 금천구
2020,서울특별시 영등포구,1156000000,379480,60663,16,서울특별시 영등포구
2020,서울특별시 동작구,1159000000,391220,64928,16.6,서울특별시 동작구
2020,서울특별시 관악구,1162000000,495060,78430,15.8,서울특별시 관악구
2020,서울특별시 서초구,1165000000,425126,60072,14.1,서울특별시 서초구
2020,서울특별시 강남구,1168000000,539231,74959,13.9,서울특별시 강남구
2020,서울특별시 송파구,1171000000,667960,93309,14,서울특별시 송파구
2020,서울특별시 강동구,1174000000,459970,69903,15.2,서울특별시 강동구
2020,부산광역시 중구,2611000000,41523,11315,27.2,부산광역시 중구
2020,부산광역시 서구,2614000000,108135,27346,25.3,부산광역시 서구
2020,부산광역시 동구,2617000000,88901,23381,26.3,부산광역시 동구
2020,부산광역시 영도구,2620000000,113342,31483,27.8,부산광역시 영도구
2020,부산광역시 부산진구,2623000000,359886,70896,19.7,부산광역시 부산진구
2020,부산광역시 동래구,2626000000,270745,49927,18.4,부산광역시 동래구
2020,부산광역시 남구,2629000000,267731,53898,20.1,부산광역시 남구
2020,부산광역시 북구,2632000000,283952,49304,17.4,부산광역시 북구
2020,부산광역시 해운대구,2635000000,402169,70306,17.5,부산광역시 해운대구
2020,부산광역시 사하구,2638000000,311757,59570,19.1,부산광역시 사하구
2020,부산광역시 금정구,2641000000,232666,48920,21,부산광역시 금정구
2020,부산광역시 강서구,2644000000,137957,16633,12.1,부산광역시 강서구
2020,부산광역시 연제구,2647000000,209157,40515,19.4,부산광역시 연제구
2020,부산광역시 수영구,2650000000,176894,37610,21.3,부산광역시 수영구
2020,부산광역시 사상구,2653000000,212586,38865,18.3,부산광역시 사상구
2020,부산광역시 기장군,2671000000,174545,27742,15.9,부산광역시 기장군
2020,대구광역시 중구,2711000000,76547,15928,20.8,대구광역시 중구
2020,대구광역시 동구,2714000000,341920,67439,19.7,대구광역시 동구
2020,대구광역시 서구,2717000000,170700,38587,22.6,대구광역시 서구
2020,대구광역시 남구,2720000000,146632,34187,23.3,대구광역시 남구
2020,대구광역시 북구,2723000000,440263,64054,14.5,대구광역시 북구
2020,대구광역시 수성구,2726000000,424314,66564,15.7,대구광역시 수성구
2020,대구광역시 달서구,2729000000,558631,80646,14.4,대구광역시 달서구
2020,대구광역시 달성군,2771000000,259339,33089,12.8,대구광역시 달성군
2020,대구광역시 군위군,2772000000,-,-,-,대구광역시 군위군
2020,인천광역시 중구,2811000000,139729,20531,14.7,인천광역시 중구
2020,인천광역시 동구,2814000000,62542,14453,23.1,인천광역시 동구
2020,인천광역시 미추홀구,2817700000,404343,69074,17.1,인천광역시 미추홀구
2020,인천광역시 연수구,2818500000,387450,38190,9.9,인천광역시 연수구
2020,인천광역시 남동구,2820000000,525354,71468,13.6,인천광역시 남동구
2020,인천광역시 부평구,2823700000,494962,73424,14.8,인천광역시 부평구
2020,인천광역시 계양구,2824500000,296750,37947,12.8,인천광역시 계양구
2020,인천광역시 서구,2826000000,542040,58087,10.7,인천광역시 서구
2020,인천광역시 강화군,2871000000,69203,22824,33,인천광역시 강화군
2020,인천광역시 옹진군,2872000000,20455,5485,26.8,인천광역시 옹진군
2020,광주광역시 동구,2911000000,102897,22196,21.6,광주광역시 동구
2020,광주광역시 서구,2914000000,296576,42471,14.3,광주광역시 서구
2020,광주광역시 남구,2915500000,214579,37715,17.6,광주광역시 남구
2020,광주광역시 북구,2917000000,430431,64829,15.1,광주광역시 북구
2020,광주광역시 광산구,2920000000,405579,38455,9.5,광주광역시 광산구
2020,대전광역시 동구,3011000000,223021,42533,19.1,대전광역시 동구
2020,대전광역시 중구,3014000000,235550,45701,19.4,대전광역시 중구
2020,대전광역시 서구,3017000000,477880,61027,12.8,대전광역시 서구
2020,대전광역시 유성구,3020000000,351047,33654,9.6,대전광역시 유성구
2020,대전광역시 대덕구,3023000000,176384,27869,15.8,대전광역시 대덕구
2020,울산광역시 중구,3111000000,217595,33231,15.3,울산광역시 중구
2020,울산광역시 남구,3114000000,320064,39173,12.2,울산광역시 남구
2020,울산광역시 동구,3117000000,156806,19955,12.7,울산광역시 동구
2020,울산광역시 북구,3120000000,219014,18025,8.2,울산광역시 북구
2020,울산광역시 울주군,3171000000,222538,32983,14.8,울산광역시 울주군
2020,세종특별자치시,3611000000,355831,34881,9.8,세종특별자치시
2020,경기도 수원시,4111000000,1186078,131936,11.1,경기도 수원시
2020,경기도 성남시,4113000000,940064,133221,14.2,경기도 성남시
2020,경기도 의정부시,4115000000,461710,70369,15.2,경기도 의정부시
2020,경기도 안양시,4117000000,550027,75581,13.7,경기도 안양시
2020,경기도 부천시,4119000000,818383,111952,13.7,경기도 부천시
2020,경기도 광명시,4121000000,298599,41683,14,경기도 광명시
2020,경기도 평택시,4122000000,537307,66486,12.4,경기도 평택시
2020,경기도 동두천시,4125000000,94353,19397,20.6,경기도 동두천시
2020,경기도 안산시,4127000000,654915,71620,10.9,경기도 안산시
2020,경기도 고양시,4128000000,1079216,145710,13.5,경기도 고양시
2020,경기도 과천시,4129000000,63231,8994,14.2,경기도 과천시
2020,경기도 구리시,4131000000,197454,26962,13.7,경기도 구리시
2020,경기도 남양주시,4136000000,713321,100537,14.1,경기도 남양주시
2020,경기도 오산시,4137000000,229725,22060,9.6,경기도 오산시
2020,경기도 시흥시,4139000000,500895,46782,9.3,경기도 시흥시
2020,경기도 군포시,4141000000,273791,36416,13.3,경기도 군포시
2020,경기도 의왕시,4143000000,163795,22280,13.6,경기도 의왕시
2020,경기도 하남시,4145000000,293452,37573,12.8,경기도 하남시
2020,경기도 용인시,4146000000,1074176,143096,13.3,경기도 용인시
2020,경기도 파주시,4148000000,465617,64915,13.9,경기도 파주시
2020,경기도 이천시,4150000000,218388,31134,14.3,경기도 이천시
2020,경기도 안성시,4155000000,187012,32844,17.6,경기도 안성시
2020,경기도 김포시,4157000000,473970,58124,12.3,경기도 김포시
2020,경기도 화성시,4159000000,855248,76180,8.9,경기도 화성시
2020,경기도 광주시,4161000000,382054,51079,13.4,경기도 광주시
2020,경기도 양주시,4163000000,230359,36245,15.7,경기도 양주시
2020,경기도 포천시,4165000000,147274,29314,19.9,경기도 포천시
2020,경기도 여주시,4167000000,111897,24475,21.9,경기도 여주시
2020,경기도 연천군,4180000000,43516,11490,26.4,경기도 연천군
2020,경기도 가평군,4182000000,62377,16324,26.2,경기도 가평군
2020,경기도 양평군,4183000000,118810,30536,25.7,경기도 양평군
2020,충청북도 청주시,4311000000,844993,113322,13.4,충청북도 청주시
2020,충청북도 충주시,4313000000,210186,41852,19.9,충청북도 충주시
2020,충청북도 제천시,4315000000,133018,29256,22,충청북도 제천시
