시도,시군구,기준년도,2020,2021,2022,2023,2024,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
시도,시군구,기준년도,합계,합계,합계,합계,합계,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시,0시~2시,2시~4시,4시~6시,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
서울,합계,사고[건],5056,4829,5251,5731,5926,174,109,236,293,488,697,624,719,668,503,318,227,101,45,157,313,431,688,636,695,653,530,349,231,152,112,223,305,577,696,665,739,640,528,349,265,164,120,221,331,646,804,733,777,728,585,365,257,158,117,243,366,651,876,741,805,772,553,393,251
서울,합계,사망[명],86,103,87,71,107,1,5,14,6,6,7,7,16,8,8,3,5,3,1,7,17,5,15,17,12,8,10,5,3,3,0,14,6,8,11,11,11,7,6,7,3,1,3,8,6,9,9,5,8,9,8,2,3,6,3,9,12,6,22,11,10,10,9,7,2
서울,합계,부상[명],5279,5027,5543,6117,6309,188,109,239,304,507,732,661,756,694,524,327,238,104,44,155,316,453,720,661,748,685,543,367,231,158,115,223,324,613,731,705,790,681,561,369,273,172,122,229,357,686,853,787,842,782,620,398,269,162,128,249,379,697,933,803,869,844,579,406,260
서울,합계,(중상자[명]),1712,1627,1697,1816,1808,38,27,92,107,176,268,217,254,233,167,84,49,26,10,59,111,152,255,219,241,228,162,116,48,28,22,78,122,191,226,237,263,193,166,111,60,43,31,81,108,216,263,252,261,205,177,118,61,26,28,95,127,208,267,245,241,239,172,102,58
서울,종로구,사고[건],147,122,152,189,172,6,1,5,13,16,24,16,24,17,18,3,4,1,0,4,9,13,18,15,17,21,12,8,4,4,5,4,11,16,15,20,20,20,16,12,9,7,4,7,9,18,18,30,30,24,21,8,13,4,3,6,14,13,25,17,24,23,15,18,10
서울,종로구,사망[명],2,3,2,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
서울,종로구,부상[명],153,125,164,203,180,6,1,4,14,18,25,16,26,17,19,3,4,1,0,4,8,13,18,15,19,22,12,9,4,5,5,4,12,16,18,23,22,21,16,13,9,8,4,7,9,20,19,34,32,24,23,8,15,4,3,6,14,14,29,20,24,23,14,18,11
서울,종로구,(중상자[명]),54,50,40,59,57,0,0,0,5,8,10,4,10,6,8,2,1,1,0,2,3,6,6,6,7,10,4,3,2,1,0,1,3,5,4,7,4,7,3,4,1,2,1,2,3,6,7,9,7,7,9,1,5,0,0,3,7,4,9,8,6,7,7,4,2
서울,중구,사고[건],161,126,153,155,180,6,1,6,8,19,18,27,23,20,13,14,6,5,0,3,3,13,20,16,13,14,18,16,5,7,3,4,7,19,19,22,30,15,12,12,3,7,1,5,6,13,16,27,29,12,18,15,6,4,5,6,4,11,41,27,30,19,11,13,9
서울,중구,사망[명],2,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
서울,중구,부상[명],163,130,157,156,188,7,1,7,8,19,18,27,23,21,13,14,5,5,0,3,3,13,21,18,14,14,18,16,5,7,3,4,7,19,20,22,32,15,13,12,3,7,1,5,6,13,15,27,29,13,19,15,6,4,4,6,3,11,45,27,31,21,12,14,10
서울,중구,(중상자[명]),60,47,62,53,63,2,0,3,2,6,8,13,5,12,6,3,0,3,0,1,2,7,6,6,5,4,6,6,1,3,1,2,1,12,6,10,13,5,5,3,1,1,1,2,1,7,8,10,10,2,5,4,2,2,0,3,2,2,15,9,10,11,4,2,3
서울,용산구,사고[건],95,126,135,134,127,6,2,8,3,4,15,11,14,13,8,6,5,3,2,2,6,16,12,20,13,18,11,13,10,0,5,8,7,11,20,15,18,15,17,12,7,10,5,4,8,14,13,17,18,19,14,7,5,9,1,4,9,16,23,18,8,16,9,7,7
서울,용산구,사망[명],4,2,2,4,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
서울,용산구,부상[명],97,132,141,145,130,8,2,7,3,4,15,12,14,13,8,6,5,3,2,2,6,17,12,20,15,18,11,15,11,0,5,8,7,12,21,15,20,15,19,12,7,10,5,4,9,14,13,17,21,23,15,10,4,9,1,3,9,17,23,19,9,17,9,7,7
서울,용산구,(중상자[명]),33,36,42,33,39,4,0,4,1,2,7,3,4,5,3,0,0,1,1,1,1,2,5,5,6,6,2,3,3,0,1,4,4,2,8,4,3,6,5,4,1,3,1,0,3,3,5,4,8,2,1,3,0,3,1,1,5,7,6,4,3,4,2,1,2
서울,성동구,사고[건],158,144,137,135,134,3,2,11,9,17,18,19,23,23,16,11,6,3,1,3,13,11,19,18,19,19,18,10,10,3,5,8,5,18,17,18,17,15,15,9,7,4,2,4,10,21,18,21,15,15,15,4,6,6,3,1,7,14,20,16,23,21,13,6,4
서울,성동구,사망[명],6,4,1,3,2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
서울,성동구,부상[명],159,143,139,140,142,3,1,10,8,18,20,20,22,23,15,13,6,3,1,3,12,10,19,17,19,19,19,12,9,3,5,8,5,19,17,19,17,15,15,8,8,4,1,4,12,23,18,21,16,14,17,4,6,6,3,1,7,14,20,15,23,29,13,7,4
서울,성동구,(중상자[명]),52,51,40,40,47,0,1,4,3,5,6,10,6,12,3,2,0,1,0,1,4,4,9,7,7,5,5,7,1,0,2,2,2,9,5,4,4,5,4,2,1,0,0,3,4,6,5,8,4,4,4,0,2,0,2,1,3,6,7,7,5,8,5,1,2
서울,동대문구,사고[건],289,282,322,390,341,8,10,12,14,27,48,31,42,38,34,20,5,4,4,13,18,29,44,42,45,44,18,18,3,9,2,7,20,35,57,33,53,48,29,14,15,3,4,16,25,59,55,69,43,50,35,17,14,5,5,17,16,45,43,47,55,44,35,12,17
서울,동대문구,사망[명],2,12,4,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,3,1,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0
서울,동대문구,부상[명],298,281,332,405,360,8,10,12,14,27,49,31,43,40,36,22,6,4,4,11,17,31,43,41,45,45,17,20,3,9,2,7,21,36,55,33,54,53,32,15,15,3,4,16,26,60,58,70,47,52,36,19,14,5,5,19,16,48,45,50,58,47,36,13,18
서울,동대문구,(중상자[명]),120,88,108,130,110,3,4,6,8,13,23,8,17,15,14,6,3,1,0,7,8,12,15,12,13,14,4,2,0,1,0,1,8,13,20,8,25,13,12,4,3,0,1,4,9,17,16,26,18,20,12,6,1,1,0,5,4,18,15,19,11,13,15,6,3
서울,성북구,사고[건],214,194,185,240,271,3,2,10,17,25,32,34,31,20,17,15,8,0,1,6,12,18,25,32,31,27,15,16,11,5,5,4,9,21,22,24,24,28,23,7,13,6,5,4,14,25,40,23,34,37,29,12,11,4,5,10,19,38,33,42,39,39,23,11,8
서울,성북구,사망[명],3,3,5,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
서울,성북구,부상[명],218,200,191,252,290,5,2,11,17,22,32,35,32,22,17,15,8,0,1,6,15,18,24,33,33,28,15,16,11,6,5,4,10,23,23,25,24,28,21,7,15,6,6,4,13,26,42,24,34,41,31,14,11,7,5,10,20,40,34,49,43,39,24,11,8
서울,성북구,(중상자[명]),82,72,68,92,93,0,0,4,9,8,12,14,13,11,6,4,1,0,1,3,5,6,13,12,16,4,7,3,2,1,0,2,6,15,6,7,7,13,4,2,5,0,1,2,6,11,10,8,13,18,12,7,4,1,1,4,6,8,12,19,12,13,11,3,3
서울,도봉구,사고[건],160,133,108,144,135,5,4,7,7,24,23,18,19,24,14,9,6,3,0,4,7,10,23,14,25,14,17,10,6,1,2,5,6,16,13,12,14,20,7,8,4,7,6,4,7,12,28,19,16,15,17,9,4,6,3,5,6,22,14,14,20,14,14,11,6
서울,도봉구,사망[명],4,1,1,1,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0
서울,도봉구,부상[명],167,145,113,154,145,7,4,7,8,24,25,19,19,25,14,9,6,3,0,5,8,11,24,14,30,15,18,11,6,1,3,5,7,19,14,12,14,19,7,8,4,7,6,4,7,13,29,20,17,19,18,10,4,6,2,5,6,21,14,17,26,15,16,11,6
서울,도봉구,(중상자[명]),64,65,44,44,48,1,1,5,3,12,12,9,7,8,4,1,1,1,0,3,7,5,15,4,13,6,8,2,1,0,0,2,3,8,3,8,8,5,5,2,0,1,4,1,2,4,9,6,4,5,5,2,1,1,0,3,1,9,6,7,4,4,4,5,4
서울,은평구,사고[건],195,171,183,238,264,5,1,13,11,17,24,27,27,23,25,12,10,5,2,2,11,21,19,33,20,25,21,9,3,2,3,5,8,25,27,24,31,18,19,12,9,2,4,10,14,24,39,24,36,29,25,18,13,11,6,8,16,26,35,42,39,38,25,11,7
서울,은평구,사망[명],8,5,1,4,2,0,0,2,1,0,0,1,2,1,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
서울,은평구,부상[명],199,183,196,248,286,5,1,12,10,18,25,28,26,23,27,13,11,5,2,2,10,22,22,35,27,25,21,9,3,2,3,5,8,27,29,25,33,21,22,12,9,2,3,12,15,24,42,25,41,28,25,18,13,10,7,8,17,27,36,49,41,45,26,13,7
서울,은평구,(중상자[명]),70,83,75,89,101,2,1,3,2,8,8,13,7,7,11,8,0,3,2,2,7,8,13,17,10,11,7,3,0,0,1,2,5,4,12,14,16,9,4,6,2,1,1,3,7,8,9,16,13,9,12,7,3,2,4,2,6,10,19,18,16,12,9,3,0
서울,서대문구,사고[건],137,167,156,152,177,4,1,5,11,14,13,21,25,21,14,4,4,3,3,8,18,10,24,19,20,28,13,14,7,5,0,7,10,23,19,21,23,15,20,7,6,4,1,6,7,22,23,21,19,21,14,10,4,3,1,9,13,20,22,25,26,15,25,13,5
서울,서대문구,사망[명],2,1,2,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
서울,서대문구,부상[명],141,179,166,159,190,4,1,4,11,14,13,22,26,23,14,4,5,3,3,9,17,11,26,19,21,34,14,15,7,5,0,9,10,24,19,21,26,17,22,7,6,4,1,7,8,21,24,21,21,22,15,10,5,3,1,11,14,22,23,28,28,15,28,12,5
서울,서대문구,(중상자[명]),55,61,47,54,60,1,0,1,6,4,4,5,13,9,8,2,2,1,0,4,6,3,9,5,7,11,6,7,2,1,0,1,5,2,7,8,9,4,6,2,2,2,0,3,1,8,8,7,10,6,4,5,0,2,1,3,4,9,8,11,8,2,9,3,0
서울,마포구,사고[건],148,141,142,161,175,5,2,3,6,13,23,12,20,23,22,13,6,1,2,3,8,14,22,16,22,13,17,15,8,11,4,11,10,14,11,17,20,12,13,11,8,5,2,8,12,22,20,18,19,18,12,15,10,6,4,10,9,17,23,17,28,17,18,16,10
서울,마포구,사망[명],4,5,5,8,5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,2,2,1,0,1,0,1,0,0,1,1,0,0,0,1,0
서울,마포구,부상[명],154,145,145,166,182,5,2,3,6,14,25,11,22,25,21,14,6,1,2,3,8,15,25,16,22,12,18,16,7,11,4,11,10,17,11,18,19,11,14,11,8,7,2,9,12,23,19,18,20,17,10,18,11,5,4,9,10,17,27,18,30,18,19,15,10
서울,마포구,(중상자[명]),40,47,46,51,45,0,1,1,1,2,9,2,9,8,6,0,1,0,0,0,2,3,9,7,9,5,5,5,2,2,1,5,6,6,5,3,6,2,3,5,2,1,1,6,3,7,7,7,7,3,3,5,1,0,1,6,2,4,9,5,7,4,5,1,1
서울,강서구,사고[건],232,235,264,247,280,4,5,8,21,14,30,33,33,32,25,12,15,3,2,6,18,17,37,31,31,30,32,16,12,4,9,15,18,31,38,32,35,28,25,18,11,4,5,10,16,31,34,36,40,32,17,12,10,5,4,19,20,29,33,28,39,45,20,26,12
서울,강서구,사망[명],9,7,5,3,9,0,0,0,1,1,2,1,1,2,0,1,0,0,0,1,0,1,1,1,1,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,1,3,0,1,0,0,0,0
서울,강서구,부상[명],242,238,279,265,302,5,5,8,24,14,29,40,33,32,26,11,15,3,2,6,20,16,39,30,30,31,31,18,12,4,9,14,18,32,43,33,41,29,27,18,11,5,6,9,19,33,36,39,43,33,20,12,10,4,5,19,18,32,34,32,41,54,22,29,12
